ID,salesPlan_ID,product_ID,quantity,targetPrice,discount,notes
"ed9e40f8-7d74-4d95-8a5f-90f9c7045548",1,1,50,5699.00,5.00,"新品首发促销"
"6a3e8c2f-b4ed-4a92-b9f2-ec7d82e1d1a1",1,3,100,549.00,8.33,"搭配销售"
"b7c52d70-5f1c-4e5b-8d3f-23a85f05ce78",1,5,150,179.00,10.05,"配件促销"
"d945f6a2-8d89-4c82-9f1a-e4f7a2c0e6d3",2,1,80,5499.00,8.33,"夏季大促特价"
"c0e9b8a7-6d54-4f32-8e21-d0c7b6a5f4e3",2,2,30,8499.00,5.56,"学生返校季"
"f1e3d5c7-b9a8-4d65-8f23-e7c9b5a3d1f0",2,4,60,1199.00,7.70,"夏季运动季"
"a2c4e6b8-d0f2-4e8a-a6c8-e0d2f4a6c8e0",2,7,40,849.00,5.56,"居家娱乐"
"97531a8b-c6d4-4e2f-a0b9-c8d6e4f2a0b8",3,1,120,5299.00,11.67,"双11爆品"
"86420c9d-e7f5-4d3b-b1a9-d7e5c3b1a9d7",3,2,50,7999.00,11.11,"双11限时特惠"
"75319b8c-f6e4-4d2a-c0b8-e6f4d2c0b8e6",3,3,200,499.00,16.69,"爆款配件"
"64208a7b-d5c3-4b1a-d7a5-c3b1a9d7e5c3",3,4,100,999.00,23.09,"秒杀特惠"
"53197c6a-e4b2-4a0c-e6d4-b2a0c8e6d4b2",3,6,30,3999.00,13.05,"影音设备大促"
"42086d59-c3a1-490d-f5c3-a19d7e5c3b19",3,9,60,3299.00,10.81,"平板促销"
"31975e48-b290-47fe-e4b2-90c8e6d4b290",4,5,200,169.00,15.08,"清仓特价"
"20864f37-a189-46ef-c3a1-89d7e5c3a189",4,8,100,299.00,9.12,"游戏周边清仓"
"10753d26-9078-45de-b290-78c8e6d4b290",4,10,20,2499.00,16.67,"库存清理"
"09642c15-8967-44cd-a189-67d7e5c3a189",5,1,60,5599.00,6.67,"春节礼品"
"87531b04-7856-43bc-9078-56c8e6d4b290",5,2,25,8599.00,4.45,"新年换新机"
"76420a93-6745-42ab-8967-45d7e5c3a189",5,4,80,1099.00,15.40,"健康新年"
"65319c82-5634-419a-7856-34c8e6d4b290",5,7,70,799.00,11.12,"家庭娱乐"
"54208b71-4523-4089-6745-23d7e5c3a189",5,9,40,3499.00,5.41,"春节好礼"
"43197a60-3412-3f78-5634-12c8e6d4b290",6,1,100,5499.00,8.33,"会员专享"
"32086c59-2301-3e67-4523-01d7e5c3a189",6,3,150,529.00,11.69,"配件促销"
"21975b48-1290-3d56-3412-90c8e6d4b290",6,6,35,4199.00,8.70,"影像新品"
"10864a37-0189-3c45-2301-89d7e5c3a189",6,9,55,3399.00,8.11,"学习平板"
"09753c26-9078-3b34-1290-78c8e6d4b290",6,10,25,2799.00,6.67,"游戏体验" 